YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2009,2011,KS,Kansas,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,KY,Kentucky,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(37.645970271000465, -84.77497104799966)",21,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,LA,Louisiana,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,MA,Massachusetts,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,MD,Maryland,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,2.5,2.5,,,1.5,4,Overall,Overall,"(39.29058096400047, -76.60926011099963)",24,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,ME,Maine,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,1.2,1.2,,,0.6,2.4,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,MI,Michigan,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,2.8,2.8,,,2,3.9,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,MN,Minnesota,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,1.4,1.4,,,0.9,2.4,Overall,Overall,"(46.35564873600049, -94.79420050299967)",27,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,MO,Missouri,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,2.2,2.2,,,1.5,3.3,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,DIA,DIA3_1,CrdPrev,OVERALL,OVR
2009,2011,MS,Mississippi,PRAMS,Diabetes,Prevalence of pre-pregnancy diabetes,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(32.745510099000455, -89.53803082499968)",28,DIA,DIA3_1,CrdPrev,OVERALL,OVR
