YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,AR,Arkansas,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,36.3,36.3,,,32.3,40.4,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,AR,Arkansas,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,49.6,49.6,,,45.2,54,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,AR,Arkansas,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 2 - State had joint local and state alcohol retail licensing,,,,,,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,AR,Arkansas,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,22.9,22.9,,,19.3,27,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,8.9,8.9,,,7.2,11,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.3,13.3,,,11.7,15,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.1,14.1,,,12.4,16,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.9,17.9,,,15.3,20.9,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.6,18.6,,,15.8,21.8,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.9,9.9,,,8,12.2,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.5,12.5,,,10.8,14.5,Race/Ethnicity,"White, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.2,14.2,,,12.1,16.5,Race/Ethnicity,"White, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.1,16.1,,,11.7,21.7,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.7,15.7,,,11.4,21.2,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
