YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,AZ,Arizona,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,36,36,,,31.4,40.9,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,AZ,Arizona,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,AZ,Arizona,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 6 - State had exclusive state alcohol retail licensing,,,,,,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,AZ,Arizona,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,20.1,20.1,,,16.8,24,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.9,14.9,,,13.8,16.1,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.7,15.7,,,14.5,16.9,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.1,21.1,,,19.3,23.1,Gender,Male,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.7,21.7,,,19.8,23.7,Gender,Male,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.1,9.1,,,7.9,10.4,Gender,Female,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.7,9.7,,,8.4,11.1,Gender,Female,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.5,14.5,,,13.3,15.8,Race/Ethnicity,"White, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.9,16.9,,,15.4,18.5,Race/Ethnicity,"White, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.2,14.2,,,8.9,21.9,Race/Ethnicity,"Black, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.9,12.9,,,8.4,19.4,Race/Ethnicity,"Black, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.6,16.6,,,14,19.6,Race/Ethnicity,Hispanic,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.3,15.3,,,13,18,Race/Ethnicity,Hispanic,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.4,13.4,,,9.6,18.4,Race/Ethnicity,"Other, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.2,12.2,,,8.8,16.6,Race/Ethnicity,"Other, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,MRC
