YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,CO,Colorado,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,CO,Colorado,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,59.9,59.9,,,56.7,63,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,CO,Colorado,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 2 - State had joint local and state alcohol retail licensing,,,,,,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,CO,Colorado,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.5,17.5,,,16.5,18.4,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.8,17.8,,,16.8,18.7,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.8,22.8,,,21.3,24.4,Gender,Male,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.9,22.9,,,21.4,24.4,Gender,Male,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.2,12.2,,,11.1,13.3,Gender,Female,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.5,12.5,,,11.4,13.7,Gender,Female,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.9,17.9,,,16.8,19,Race/Ethnicity,"White, non-Hispanic","(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,CrdPrev,RACE,WHT
