YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,DC,District of Columbia,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,31.4,31.4,,,30.2,32.5,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,DC,District of Columbia,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,DC,District of Columbia,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,,,^^^,DC was not rated for this measure because the measure addresses state versus local authority and does not apply to the District of Columbia,,,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,DC,District of Columbia,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,12.3,12.3,,,11.6,13.2,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,24.9,24.9,,,22.4,27.7,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.7,22.7,,,20.4,25.1,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,31.2,31.2,,,27.3,35.4,Gender,Male,"(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,28,28,,,24.6,31.6,Gender,Male,"(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.4,19.4,,,16.1,23.2,Gender,Female,"(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.9,17.9,,,15.1,21.2,Gender,Female,"(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,34.8,34.8,,,30.7,39.1,Race/Ethnicity,"White, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,31,31,,,27.5,34.7,Race/Ethnicity,"White, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.2,14.2,,,11.2,17.9,Race/Ethnicity,"Black, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.7,13.7,,,10.8,17.2,Race/Ethnicity,"Black, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,32.5,32.5,,,21.7,45.6,Race/Ethnicity,Hispanic,"(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,23.3,23.3,,,16.7,31.5,Race/Ethnicity,Hispanic,"(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.4,22.4,,,20.3,24.6,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,OVERALL,OVR
