YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,23.5,23.5,,,20.3,27,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,GU,Guam,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,GU,Guam,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,,,-,No data available,,,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,GU,Guam,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,12.7,12.7,,,10.3,15.7,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.9,22.9,,,20.5,25.5,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.2,22.2,,,19.8,24.7,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,33.8,33.8,,,29.9,38,Gender,Male,"(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,33.3,33.3,,,29.3,37.6,Gender,Male,"(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.2,12.2,,,9.7,15.2,Gender,Female,"(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.4,11.4,,,9.2,14.1,Gender,Female,"(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.6,19.6,,,13.5,27.7,Race/Ethnicity,"White, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.6,18.6,,,13,25.8,Race/Ethnicity,"White, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,25.4,25.4,,,16.5,36.9,Race/Ethnicity,Hispanic,"(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,27.5,27.5,,,19.2,37.8,Race/Ethnicity,Hispanic,"(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.5,22.5,,,19.7,25.6,Race/Ethnicity,"Other, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.9,21.9,,,19.1,24.9,Race/Ethnicity,"Other, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,25.2,25.2,,,18.7,33.1,Race/Ethnicity,"Multiracial, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,23.6,23.6,,,17.4,31.1,Race/Ethnicity,"Multiracial, non-Hispanic","(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.9,20.9,,,18.5,23.6,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.2,20.2,,,17.8,22.8,Overall,Overall,"(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,33.8,33.8,,,29.6,38.3,Gender,Male,"(13.444304, 144.793731)",66,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,GU,Guam,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,32.8,32.8,,,28.6,37.2,Gender,Male,"(13.444304, 144.793731)",66,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
