YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,IA,Iowa,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,IA,Iowa,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,IA,Iowa,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,IA,Iowa,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,27.9,27.9,,,25.9,30,Gender,Male,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.4,21.4,,,20.1,22.7,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.7,22.7,,,21.3,24.1,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,29.3,29.3,,,27.2,31.5,Gender,Male,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.1,15.1,,,13.6,16.8,Gender,Female,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.2,16.2,,,14.6,17.9,Gender,Female,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.7,21.7,,,20.4,23.1,Race/Ethnicity,"White, non-Hispanic","(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,23.9,23.9,,,22.5,25.4,Race/Ethnicity,"White, non-Hispanic","(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.0,20,,,11,33.6,Race/Ethnicity,"Black, non-Hispanic","(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.2,17.2,,,9.8,28.4,Race/Ethnicity,"Black, non-Hispanic","(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,IA,Iowa,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.8,17.8,,,11.9,25.9,Race/Ethnicity,Hispanic,"(42.46940091300047, -93.81649055599968)",19,ALC,ALC2_2,CrdPrev,RACE,HIS
