YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NC,North Carolina,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,32.2,32.2,,,29.5,34.9,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,NC,North Carolina,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,NC,North Carolina,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 5 - State had nearly exclusive state alcohol retail licensing,,,,,,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,NC,North Carolina,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,14.6,14.6,,,12.4,17.2,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,NC,North Carolina,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.6,13.6,,,12.6,14.8,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,NC,North Carolina,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.4,14.4,,,13.2,15.6,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,NC,North Carolina,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.6,19.6,,,17.8,21.5,Gender,Male,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,NC,North Carolina,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.1,20.1,,,18.2,22.1,Gender,Male,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,NC,North Carolina,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,8.3,8.3,,,7.2,9.5,Gender,Female,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,NC,North Carolina,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.0,9,,,7.8,10.3,Gender,Female,"(35.466220975000454, -79.15925046299964)",37,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
