YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NV,Nevada,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,34,34,,,29.7,38.6,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,NV,Nevada,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,NV,Nevada,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 1 - State had exclusive local alcohol retail licensing,,,,,,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,NV,Nevada,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,18.7,18.7,,,14.8,23.3,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,NV,Nevada,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.0,16,,,14,18.1,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,NV,Nevada,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.5,16.5,,,14.5,18.7,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,NV,Nevada,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.6,21.6,,,18.4,25.2,Gender,Male,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,NV,Nevada,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22,22,,,18.8,25.7,Gender,Male,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,NV,Nevada,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.4,10.4,,,8.5,12.7,Gender,Female,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,NV,Nevada,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.0,11,,,8.9,13.5,Gender,Female,"(39.493240390000494, -117.07184056399967)",32,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
