YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,OK,Oklahoma,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,33.4,33.4,,,29.6,37.5,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,OK,Oklahoma,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,48.5,48.5,,,44.5,52.5,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,OK,Oklahoma,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,OK,Oklahoma,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,21.8,21.8,,,18.7,25.2,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.8,12.8,,,11.8,14,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.5,13.5,,,12.4,14.6,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.6,18.6,,,16.9,20.5,Gender,Male,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.1,19.1,,,17.4,21.1,Gender,Male,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,7.4,7.4,,,6.3,8.6,Gender,Female,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,7.9,7.9,,,6.8,9.2,Gender,Female,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.3,12.3,,,11.2,13.6,Race/Ethnicity,"White, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.8,13.8,,,12.5,15.3,Race/Ethnicity,"White, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.2,12.2,,,8.6,17.2,Race/Ethnicity,"Black, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.2,11.2,,,8,15.5,Race/Ethnicity,"Black, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.6,16.6,,,12.5,21.8,Race/Ethnicity,Hispanic,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.4,14.4,,,10.9,18.7,Race/Ethnicity,Hispanic,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.7,9.7,,,7.2,12.9,Race/Ethnicity,"Other, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.4,9.4,,,7,12.6,Race/Ethnicity,"Other, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,23.1,23.1,,,15.9,32.3,Race/Ethnicity,"Multiracial, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.9,20.9,,,15.7,27.2,Race/Ethnicity,"Multiracial, non-Hispanic","(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.7,12.7,,,11.6,13.8,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.1,13.1,,,12.1,14.3,Overall,Overall,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.7,17.7,,,15.9,19.6,Gender,Male,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.0,18,,,16.2,19.9,Gender,Male,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,7.9,7.9,,,6.9,9.1,Gender,Female,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,CrdPrev,GENDER,GENF
2013,2013,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,8.3,8.3,,,7.2,9.6,Gender,Female,"(35.47203135600046, -97.52107021399968)",40,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
