YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,PA,Pennsylvania,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,PA,Pennsylvania,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,60.8,60.8,,,57.4,64,Overall,Overall,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,PA,Pennsylvania,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,PA,Pennsylvania,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.7,16.7,,,15.6,17.8,Overall,Overall,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.9,17.9,,,16.7,19.1,Overall,Overall,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,23.2,23.2,,,21.4,25.1,Gender,Male,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,24,24,,,22.2,26,Gender,Male,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.6,10.6,,,9.6,11.8,Gender,Female,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.8,11.8,,,10.6,13.2,Gender,Female,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.1,17.1,,,16,18.3,Race/Ethnicity,"White, non-Hispanic","(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.3,19.3,,,18,20.7,Race/Ethnicity,"White, non-Hispanic","(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.7,14.7,,,11.2,18.9,Race/Ethnicity,"Black, non-Hispanic","(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.2,14.2,,,11,18.3,Race/Ethnicity,"Black, non-Hispanic","(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,PA,Pennsylvania,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.2,20.2,,,13.7,28.6,Race/Ethnicity,Hispanic,"(40.79373015200048, -77.86070029399963)",42,ALC,ALC2_2,CrdPrev,RACE,HIS
