YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,SD,South Dakota,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,30.8,30.8,,,27.9,33.9,Overall,Overall,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,SD,South Dakota,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,SD,South Dakota,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 1 - State had exclusive local alcohol retail licensing,,,,,,Overall,Overall,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,SD,South Dakota,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,17.2,17.2,,,14.8,20,Overall,Overall,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.4,17.4,,,15.9,19.1,Overall,Overall,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.3,18.3,,,16.6,20,Overall,Overall,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.9,22.9,,,20.4,25.6,Gender,Male,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,23.5,23.5,,,20.9,26.3,Gender,Male,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.1,12.1,,,10.3,14.1,Gender,Female,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.0,13,,,11.1,15.2,Gender,Female,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.5,17.5,,,15.8,19.2,Race/Ethnicity,"White, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.0,19,,,17.1,20.9,Race/Ethnicity,"White, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,RACE,HIS
2013,2013,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.3,19.3,,,11.5,30.5,Race/Ethnicity,"Multiracial, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.8,17.8,,,13.4,23.2,Race/Ethnicity,"Other, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,SD,South Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.6,17.6,,,13.3,23,Race/Ethnicity,"Other, non-Hispanic","(44.353130053000484, -100.3735306369997)",46,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
