YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,TN,Tennessee,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,28.4,28.4,,,25.7,31.3,Overall,Overall,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,TN,Tennessee,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,TN,Tennessee,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 2 - State had joint local and state alcohol retail licensing,,,,,,Overall,Overall,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,TN,Tennessee,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,16.1,16.1,,,13.8,18.7,Overall,Overall,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,TN,Tennessee,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.6,10.6,,,9.2,12.2,Overall,Overall,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,TN,Tennessee,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.3,11.3,,,9.8,13.1,Overall,Overall,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,TN,Tennessee,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.7,15.7,,,13.2,18.6,Gender,Male,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,TN,Tennessee,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.5,16.5,,,13.8,19.5,Gender,Male,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,TN,Tennessee,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,5.9,5.9,,,4.5,7.6,Gender,Female,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,TN,Tennessee,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,6.3,6.3,,,4.9,8.2,Gender,Female,"(35.68094058000048, -85.77449091399967)",47,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
