YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,US,United States,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,34.9,34.9,,,32.8,37.1,Overall,Overall,,59,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,US,United States,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,59,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,US,United States,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,,,-,No data available,,,Overall,Overall,,59,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,US,United States,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,20.8,20.8,,,19.1,22.7,Overall,Overall,,59,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.0,16,*,50 States + DC: US Median,15.2,17.1,Overall,Overall,,59,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.8,16.8,*,50 States + DC: US Median,15.9,17.9,Overall,Overall,,59,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.4,21.4,*,50 States + DC: US Median,20.5,22.9,Gender,Male,,59,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.8,21.8,*,50 States + DC: US Median,21.1,23.5,Gender,Male,,59,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.1,11.1,*,50 States + DC: US Median,10.4,11.9,Gender,Female,,59,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,US,United States,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.8,11.8,*,50 States + DC: US Median,11,12.7,Gender,Female,,59,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
