YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,FL,Florida,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,34.8,34.8,,,33.1,36.6,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,FL,Florida,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,FL,Florida,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,FL,Florida,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,16.6,16.6,,,15.2,18.1,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.0,15,,,13.9,16.1,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.4,16.4,,,15.1,17.6,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.8,19.8,,,18,21.7,Gender,Male,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.3,21.3,,,19.3,23.4,Gender,Male,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.6,10.6,,,9.5,11.8,Gender,Female,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.8,11.8,,,10.5,13.2,Gender,Female,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.4,16.4,,,15.1,17.8,Race/Ethnicity,"White, non-Hispanic","(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.8,19.8,,,18.1,21.7,Race/Ethnicity,"White, non-Hispanic","(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.6,9.6,,,7.1,12.8,Race/Ethnicity,"Black, non-Hispanic","(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,FL,Florida,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.5,9.5,,,7,12.7,Race/Ethnicity,"Black, non-Hispanic","(28.932040377000476, -81.92896053899966)",12,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
