YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,HI,Hawaii,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,25.2,25.2,,,21.9,28.8,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,HI,Hawaii,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,53.1,53.1,,,49.9,56.3,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,HI,Hawaii,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 1 - State had exclusive local alcohol retail licensing,,,,,,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,HI,Hawaii,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,12.7,12.7,,,11,14.8,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.7,19.7,,,18.3,21.2,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.8,20.8,,,19.3,22.3,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,28,28,,,25.8,30.4,Gender,Male,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,28.7,28.7,,,26.5,31.1,Gender,Male,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.4,11.4,,,10,13,Gender,Female,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.4,12.4,,,10.8,14.2,Gender,Female,"(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.5,22.5,,,19.8,25.6,Race/Ethnicity,"White, non-Hispanic","(21.304850435000446, -157.85774940299973)",15,ALC,ALC2_2,CrdPrev,RACE,WHT
