YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,ID,Idaho,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,28.3,28.3,,,24,33,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,ID,Idaho,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,ID,Idaho,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 2 - State had joint local and state alcohol retail licensing,,,,,,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,ID,Idaho,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,18.2,18.2,,,14.6,22.4,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.8,14.8,,,13.3,16.5,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.4,15.4,,,13.8,17.1,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.8,20.8,,,18.2,23.6,Gender,Male,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.3,21.3,,,18.7,24.1,Gender,Male,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.1,9.1,,,7.5,10.9,Gender,Female,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.6,9.6,,,7.9,11.6,Gender,Female,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.5,14.5,,,13,16.2,Race/Ethnicity,"White, non-Hispanic","(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.6,15.6,,,13.9,17.6,Race/Ethnicity,"White, non-Hispanic","(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,ID,Idaho,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.8,15.8,,,9.9,24.2,Race/Ethnicity,Hispanic,"(43.682630005000476, -114.3637300419997)",16,ALC,ALC2_2,CrdPrev,RACE,HIS
