YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,KS,Kansas,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,27.6,27.6,,,25.6,29.7,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,KS,Kansas,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,KS,Kansas,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,KS,Kansas,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,16.2,16.2,,,14.6,18,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.8,22.8,,,21.4,24.2,Gender,Male,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.8,15.8,,,15,16.7,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.6,16.6,,,15.7,17.5,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,23.3,23.3,,,21.9,24.7,Gender,Male,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.1,9.1,,,8.3,10.1,Gender,Female,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.9,9.9,,,8.9,10.9,Gender,Female,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.2,16.2,,,15.2,17.1,Race/Ethnicity,"White, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.8,17.8,,,16.8,18.8,Race/Ethnicity,"White, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.5,9.5,,,6.5,13.7,Race/Ethnicity,"Black, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.3,9.3,,,6.4,13.3,Race/Ethnicity,"Black, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.3,19.3,,,16.1,22.9,Race/Ethnicity,Hispanic,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.6,15.6,,,13,18.7,Race/Ethnicity,Hispanic,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.5,10.5,,,7.1,15.3,Race/Ethnicity,"Other, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.3,9.3,,,6.3,13.6,Race/Ethnicity,"Other, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.3,15.3,,,10.3,22.1,Race/Ethnicity,"Multiracial, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.1,15.1,,,10.3,21.6,Race/Ethnicity,"Multiracial, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.4,15.4,,,14.7,16,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.9,15.9,,,15.3,16.6,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.7,21.7,,,20.6,22.8,Gender,Male,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.9,21.9,,,20.9,23,Gender,Male,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.3,9.3,,,8.7,10,Gender,Female,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,GENDER,GENF
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.9,9.9,,,9.2,10.6,Gender,Female,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.5,15.5,,,14.9,16.2,Race/Ethnicity,"White, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,WHT
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.0,17,,,16.2,17.7,Race/Ethnicity,"White, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.5,12.5,,,9.6,16.2,Race/Ethnicity,"Black, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,BLK
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.1,12.1,,,9.4,15.5,Race/Ethnicity,"Black, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.2,17.2,,,14.7,19.9,Race/Ethnicity,Hispanic,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,HIS
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.9,14.9,,,12.7,17.3,Race/Ethnicity,Hispanic,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.0,11,,,7.6,15.5,Race/Ethnicity,"Other, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,10.3,10.3,,,7.2,14.6,Race/Ethnicity,"Other, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.4,16.4,,,12,22,Race/Ethnicity,"Multiracial, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,CrdPrev,RACE,MRC
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.0,15,,,11.1,19.8,Race/Ethnicity,"Multiracial, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,14.2,14.2,,,12.5,16.1,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,OVERALL,OVR
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,15.9,15.9,,,13.8,18.2,Race/Ethnicity,"White, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,WHT
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,BLK
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,11.1,11.1,,,7.5,16.3,Race/Ethnicity,Hispanic,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,HIS
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,OTH
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,MRC
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,14.1,14.1,,,12.8,15.5,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,OVERALL,OVR
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,15.6,15.6,,,14,17.2,Race/Ethnicity,"White, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,WHT
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,12.2,12.2,,,7.3,19.8,Race/Ethnicity,"Black, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,BLK
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,8.8,8.8,,,6.1,12.6,Race/Ethnicity,Hispanic,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,HIS
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,OTH
2013,2013,KS,Kansas,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,16.3,16.3,,,9.3,27,Race/Ethnicity,"Multiracial, non-Hispanic","(38.34774030000045, -98.20078122699965)",20,ALC,ALC2_3,CrdPrev,RACE,MRC
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.0,4,,,3.7,4.3,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC3_0,Mean,OVERALL,OVR
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.1,4.1,,,3.8,4.4,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC3_0,AgeAdjMean,OVERALL,OVR
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.3,4.3,,,4,4.7,Gender,Male,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC3_0,Mean,GENDER,GENM
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.5,4.5,,,4.1,4.9,Gender,Male,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC3_0,AgeAdjMean,GENDER,GENM
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.1,3.1,,,2.7,3.5,Gender,Female,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC3_0,Mean,GENDER,GENF
2014,2014,KS,Kansas,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.2,3.2,,,2.6,3.8,Gender,Female,"(38.34774030000045, -98.20078122699965)",20,ALC,ALC3_0,AgeAdjMean,GENDER,GENF
