YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,LA,Louisiana,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,38.6,38.6,,,32.9,44.6,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,LA,Louisiana,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,LA,Louisiana,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 2 - State had joint local and state alcohol retail licensing,,,,,,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,LA,Louisiana,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,19.8,19.8,,,15,25.7,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.0,16,,,14.8,17.3,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.5,16.5,,,15.3,17.8,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.4,21.4,,,19.4,23.6,Gender,Male,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.6,21.6,,,19.6,23.8,Gender,Male,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.1,11.1,,,9.8,12.4,Gender,Female,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.7,11.7,,,10.4,13.2,Gender,Female,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.9,16.9,,,15.5,18.5,Race/Ethnicity,"White, non-Hispanic","(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.5,18.5,,,16.9,20.3,Race/Ethnicity,"White, non-Hispanic","(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.6,13.6,,,11.5,16,Race/Ethnicity,"Black, non-Hispanic","(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.2,13.2,,,11.2,15.5,Race/Ethnicity,"Black, non-Hispanic","(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,LA,Louisiana,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.1,21.1,,,13.9,30.7,Race/Ethnicity,Hispanic,"(31.31266064400046, -92.44568007099969)",22,ALC,ALC2_2,CrdPrev,RACE,HIS
