YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,ME,Maine,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,26.6,26.6,,,24.8,28.5,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,ME,Maine,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,65.2,65.2,,,61.7,68.6,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,ME,Maine,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 4 - State had mixed alcohol retail licensing policies,,,,,,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,ME,Maine,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,14.4,14.4,,,13.2,15.8,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.0,17,,,15.9,18.3,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.4,19.4,,,18,20.9,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,23,23,,,21.1,25,Gender,Male,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,25.7,25.7,,,23.5,27.9,Gender,Male,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.5,11.5,,,10.2,13,Gender,Female,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,ME,Maine,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.4,13.4,,,11.8,15.1,Gender,Female,"(45.254228894000505, -68.98503133599962)",23,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
