YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,MA,Massachusetts,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,35.6,35.6,,,33.3,38,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,MA,Massachusetts,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,MA,Massachusetts,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 2 - State had joint local and state alcohol retail licensing,,,,,,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,MA,Massachusetts,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,18.9,18.9,,,16.8,21.1,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.4,17.4,,,16.4,18.4,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.4,18.4,,,17.3,19.5,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,23,23,,,21.4,24.7,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,23.7,23.7,,,22,25.5,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.4,12.4,,,11.3,13.5,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.4,13.4,,,12.2,14.7,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.4,18.4,,,17.3,19.6,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.6,20.6,,,19.3,22,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.3,13.3,,,9.6,18.1,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.1,13.1,,,9.6,17.7,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.6,14.6,,,11.3,18.7,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.6,12.6,,,9.7,16.1,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.3,11.3,,,7.9,16,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.2,9.2,,,6.4,13.1,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.6,22.6,,,15.5,31.7,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.2,21.2,,,13.6,31.5,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.4,19.4,,,18.3,20.5,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.4,20.4,,,19.2,21.6,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,25.5,25.5,,,23.7,27.4,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,26.2,26.2,,,24.4,28.1,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.8,13.8,,,12.6,15.1,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,GENDER,GENF
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.9,14.9,,,13.5,16.3,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.3,20.3,,,19.1,21.6,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,WHT
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.8,22.8,,,21.4,24.3,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.2,14.2,,,10.1,19.4,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,BLK
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.5,14.5,,,10.5,19.9,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.9,18.9,,,15.5,22.8,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,HIS
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.6,16.6,,,13.7,19.9,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.4,13.4,,,9.5,18.4,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.2,11.2,,,7.9,15.5,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.7,18.7,,,10.7,30.5,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,CrdPrev,RACE,MRC
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.6,15.6,,,9.9,23.8,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,19.3,19.3,,,17.1,21.8,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,OVERALL,OVR
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,22.6,22.6,,,19.8,25.7,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,WHT
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,13.1,13.1,,,7.2,22.4,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,BLK
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,11.7,11.7,,,7,19,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,HIS
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,OTH
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,MRC
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,22.5,22.5,,,20,25.1,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,OVERALL,OVR
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,26.2,26.2,,,23.1,29.6,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,WHT
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,BLK
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,17.2,17.2,,,12.2,23.9,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,HIS
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,OTH
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC2_3,CrdPrev,RACE,MRC
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,5.0,5,,,4.4,5.6,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,GENDER,GENM
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.2,4.2,,,3.8,4.6,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,OVERALL,OVR
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.3,4.3,,,3.9,4.7,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,OVERALL,OVR
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,5.1,5.1,,,4.5,5.7,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,GENDER,GENM
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,2.9,2.9,,,2.6,3.3,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,GENDER,GENF
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.0,3,,,2.7,3.4,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,GENDER,GENF
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.3,4.3,,,3.9,4.8,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,WHT
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.4,4.4,,,4,4.9,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,WHT
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.0,3,,,2,4,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,BLK
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.0,3,,,2.1,4,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,BLK
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,5.0,5,,,2.9,7.2,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,HIS
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.9,3.9,,,2.3,5.6,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,HIS
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,OTH
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,OTH
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,MRC
2014,2014,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,MRC
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.2,4.2,,,3.8,4.6,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,OVERALL,OVR
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.4,4.4,,,3.9,4.9,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,OVERALL,OVR
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.9,4.9,,,4.3,5.5,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,GENDER,GENM
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,5.0,5,,,4.3,5.6,Gender,Male,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,GENDER,GENM
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.0,3,,,2.7,3.4,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,GENDER,GENF
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.4,3.4,,,2.7,4.1,Gender,Female,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,GENDER,GENF
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.3,4.3,,,3.9,4.8,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,WHT
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.5,4.5,,,3.9,5.1,Race/Ethnicity,"White, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,WHT
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,5.7,5.7,,,3.1,8.2,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,BLK
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,6.3,6.3,,,3.4,9.1,Race/Ethnicity,"Black, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,BLK
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.1,3.1,,,2.4,3.8,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,HIS
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.1,3.1,,,2.4,3.8,Race/Ethnicity,Hispanic,"(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,HIS
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,3.6,3.6,,,2.5,4.6,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,OTH
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,3.3,3.3,,,2.6,4,Race/Ethnicity,"Other, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,AgeAdjMean,RACE,OTH
2013,2013,MA,Massachusetts,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(42.27687047000046, -72.08269067499964)",25,ALC,ALC3_0,Mean,RACE,MRC
