YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,MI,Michigan,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,28.3,28.3,,,24.7,32.2,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,MI,Michigan,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,64.1,64.1,,,61.4,66.8,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,MI,Michigan,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 4 - State had mixed alcohol retail licensing policies,,,,,,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,MI,Michigan,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,16.7,16.7,,,14.2,19.7,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.9,18.9,,,17.8,20.1,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.1,20.1,,,18.8,21.4,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,24,24,,,22.1,25.9,Gender,Male,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,25,25,,,23,27,Gender,Male,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.3,14.3,,,12.9,15.8,Gender,Female,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.3,15.3,,,13.8,17,Gender,Female,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.6,19.6,,,18.3,20.9,Race/Ethnicity,"White, non-Hispanic","(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.3,21.3,,,19.8,22.8,Race/Ethnicity,"White, non-Hispanic","(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.8,12.8,,,9.8,16.5,Race/Ethnicity,"Black, non-Hispanic","(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.1,13.1,,,9.9,17,Race/Ethnicity,"Black, non-Hispanic","(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,MI,Michigan,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,29.2,29.2,,,20.4,39.9,Race/Ethnicity,Hispanic,"(44.6613195430005, -84.71439026999968)",26,ALC,ALC2_2,CrdPrev,RACE,HIS
