YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,MO,Missouri,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,35.6,35.6,,,32.9,38.5,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,MO,Missouri,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,60.4,60.4,,,57.2,63.5,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,MO,Missouri,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 4 - State had mixed alcohol retail licensing policies,,,,,,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,MO,Missouri,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,22.5,22.5,,,19.7,25.5,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.1,15.1,,,13.7,16.5,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.9,15.9,,,14.5,17.4,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.7,20.7,,,18.5,23.1,Gender,Male,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.1,21.1,,,18.8,23.6,Gender,Male,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.8,9.8,,,8.3,11.4,Gender,Female,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,10.7,10.7,,,9.1,12.6,Gender,Female,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.9,15.9,,,14.4,17.5,Race/Ethnicity,"White, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.4,17.4,,,15.7,19.2,Race/Ethnicity,"White, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.1,11.1,,,7.5,16.1,Race/Ethnicity,"Black, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,10.8,10.8,,,7.4,15.4,Race/Ethnicity,"Black, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.2,17.2,,,15.7,18.7,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,ALC,ALC2_2,CrdPrev,OVERALL,OVR
