YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NE,Nebraska,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,22.1,22.1,,,19.3,25.1,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,NE,Nebraska,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,64.7,64.7,,,62.1,67.2,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,NE,Nebraska,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,NE,Nebraska,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,13.6,13.6,,,11.3,16.2,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.3,20.3,,,19.4,21.3,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.2,21.2,,,20.2,22.2,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,26.8,26.8,,,25.3,28.3,Gender,Male,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,27.4,27.4,,,25.9,28.9,Gender,Male,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.1,14.1,,,13,15.3,Gender,Female,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.1,15.1,,,14,16.3,Gender,Female,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.7,20.7,,,19.8,21.8,Race/Ethnicity,"White, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.6,22.6,,,21.6,23.7,Race/Ethnicity,"White, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.4,18.4,,,13.1,25.4,Race/Ethnicity,"Black, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.9,16.9,,,12.2,22.9,Race/Ethnicity,"Black, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.6,19.6,,,15.9,24,Race/Ethnicity,Hispanic,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.1,16.1,,,12.8,19.9,Race/Ethnicity,Hispanic,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.9,10.9,,,6.7,17.2,Race/Ethnicity,"Other, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,8.6,8.6,,,5.7,12.8,Race/Ethnicity,"Other, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,27.9,27.9,,,18.9,39.1,Race/Ethnicity,"Multiracial, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,25.4,25.4,,,17.9,34.6,Race/Ethnicity,"Multiracial, non-Hispanic","(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.0,20,,,19,21.1,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.8,20.8,,,19.7,21.9,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,25.2,25.2,,,23.6,26.9,Gender,Male,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,25.7,25.7,,,24,27.4,Gender,Male,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,NE,Nebraska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.0,15,,,13.8,16.4,Gender,Female,"(41.6410409880005, -99.36572062299967)",31,ALC,ALC2_2,CrdPrev,GENDER,GENF
