YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NJ,New Jersey,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,39.3,39.3,,,35.3,43.5,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,NJ,New Jersey,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,52.3,52.3,,,49.5,55,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,NJ,New Jersey,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 1 - State had exclusive local alcohol retail licensing,,,,,,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,NJ,New Jersey,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,23,23,,,19.5,26.9,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.8,15.8,,,14.8,16.9,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,16.9,16.9,,,15.8,18,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.5,20.5,,,18.8,22.2,Gender,Male,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.1,21.1,,,19.4,22.9,Gender,Male,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.6,11.6,,,10.4,12.8,Gender,Female,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.7,12.7,,,11.5,14.1,Gender,Female,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.5,18.5,,,17.2,20,Race/Ethnicity,"White, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.8,21.8,,,20.1,23.5,Race/Ethnicity,"White, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.1,11.1,,,8.9,13.7,Race/Ethnicity,"Black, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.2,11.2,,,9,13.9,Race/Ethnicity,"Black, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.4,16.4,,,14,19.1,Race/Ethnicity,Hispanic,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.6,15.6,,,13.2,18.3,Race/Ethnicity,Hispanic,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,6.5,6.5,,,3.9,10.5,Race/Ethnicity,"Other, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,6.1,6.1,,,3.8,9.5,Race/Ethnicity,"Other, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.3,16.3,,,15.4,17.3,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.3,17.3,,,16.3,18.4,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.5,21.5,,,19.9,23.1,Gender,Male,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,22.1,22.1,,,20.5,23.8,Gender,Male,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.6,11.6,,,10.5,12.8,Gender,Female,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,GENDER,GENF
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.7,12.7,,,11.5,14.1,Gender,Female,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.8,17.8,,,16.7,19.1,Race/Ethnicity,"White, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,WHT
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.8,20.8,,,19.4,22.3,Race/Ethnicity,"White, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.8,11.8,,,9.5,14.6,Race/Ethnicity,"Black, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,BLK
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.9,11.9,,,9.6,14.6,Race/Ethnicity,"Black, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.1,19.1,,,16.4,22.3,Race/Ethnicity,Hispanic,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,HIS
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.0,17,,,14.6,19.7,Race/Ethnicity,Hispanic,"(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,8.2,8.2,,,5.9,11.3,Race/Ethnicity,"Other, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,NJ,New Jersey,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,8.2,8.2,,,6,11.2,Race/Ethnicity,"Other, non-Hispanic","(40.13057004800049, -74.27369128799967)",34,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
