YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NM,New Mexico,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,28.9,28.9,,,26.3,31.6,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,NM,New Mexico,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,49.6,49.6,,,47,52.1,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,NM,New Mexico,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority,,,,,,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,NM,New Mexico,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,17.1,17.1,,,15.4,19,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.7,13.7,,,12.5,15.1,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.4,14.4,,,13.1,15.8,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.5,20.5,,,18.4,22.8,Gender,Male,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.0,21,,,18.9,23.4,Gender,Male,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,7.4,7.4,,,6.3,8.7,Gender,Female,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,8.0,8,,,6.7,9.4,Gender,Female,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.2,12.2,,,10.7,13.9,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.0,15,,,13,17.3,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.9,15.9,,,13.7,18.4,Race/Ethnicity,Hispanic,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.2,15.2,,,13.2,17.5,Race/Ethnicity,Hispanic,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,10.3,10.3,,,7.5,14,Race/Ethnicity,"Other, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.9,9.9,,,7.3,13.1,Race/Ethnicity,"Other, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.5,14.5,,,13.4,15.7,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.1,15.1,,,13.9,16.3,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,20.1,20.1,,,18.3,22,Gender,Male,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.5,20.5,,,18.7,22.5,Gender,Male,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.1,9.1,,,7.9,10.5,Gender,Female,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,GENDER,GENF
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.7,9.7,,,8.4,11.2,Gender,Female,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.4,13.4,,,11.9,15.1,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,WHT
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.7,15.7,,,13.7,17.8,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,BLK
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.0,16,,,14.2,18,Race/Ethnicity,Hispanic,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,HIS
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.4,15.4,,,13.7,17.2,Race/Ethnicity,Hispanic,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.9,14.9,,,11.5,19.2,Race/Ethnicity,"Other, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.8,13.8,,,10.6,17.6,Race/Ethnicity,"Other, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,CrdPrev,RACE,MRC
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,11.7,11.7,,,9.4,14.4,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,OVERALL,OVR
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,15.1,15.1,,,11,20.3,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,WHT
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,BLK
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,9.3,9.3,,,6.5,13.2,Race/Ethnicity,Hispanic,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,HIS
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,6.3,6.3,,,3.5,11.1,Race/Ethnicity,"Other, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,OTH
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,MRC
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,14.3,14.3,,,11.9,17.1,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,OVERALL,OVR
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,15.3,15.3,,,10.8,21.3,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,WHT
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,BLK
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,14.8,14.8,,,11.6,18.7,Race/Ethnicity,Hispanic,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,HIS
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,10.7,10.7,,,6.7,16.7,Race/Ethnicity,"Other, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,OTH
2013,2013,NM,New Mexico,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC2_3,CrdPrev,RACE,MRC
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.8,4.8,,,4.1,5.5,Gender,Male,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,Mean,GENDER,GENM
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.8,4.8,,,4.2,5.4,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,Mean,OVERALL,OVR
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,5.1,5.1,,,4.4,5.8,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,AgeAdjMean,OVERALL,OVR
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,5.2,5.2,,,4.4,6,Gender,Male,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,AgeAdjMean,GENDER,GENM
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.9,4.9,,,3.6,6.2,Gender,Female,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,Mean,GENDER,GENF
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.7,4.7,,,3.6,5.9,Gender,Female,"(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,AgeAdjMean,GENDER,GENF
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,4.5,4.5,,,3.7,5.4,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,Mean,RACE,WHT
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,4.7,4.7,,,3.9,5.4,Race/Ethnicity,"White, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,AgeAdjMean,RACE,WHT
2014,2014,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(34.52088095200048, -106.24058098499967)",35,ALC,ALC3_0,Mean,RACE,BLK
