YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NY,New York,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,32.5,32.5,,,29.9,35.3,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,NY,New York,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,55.8,55.8,,,51.9,59.6,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,NY,New York,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 6 - State had exclusive state alcohol retail licensing,,,,,,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,NY,New York,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,18.4,18.4,,,16,21,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,15.0,15,,,13.9,16.2,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,15.4,15.4,,,14.3,16.7,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.4,18.4,,,16.6,20.4,Gender,Male,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.7,18.7,,,16.8,20.7,Gender,Male,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.9,11.9,,,10.6,13.3,Gender,Female,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.3,12.3,,,11,13.9,Gender,Female,"(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.2,16.2,,,14.8,17.8,Race/Ethnicity,"White, non-Hispanic","(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.2,18.2,,,16.5,20,Race/Ethnicity,"White, non-Hispanic","(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.3,11.3,,,8.8,14.5,Race/Ethnicity,"Black, non-Hispanic","(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.3,11.3,,,8.7,14.5,Race/Ethnicity,"Black, non-Hispanic","(42.82700103200045, -75.54397042699964)",36,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
