YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,RI,Rhode Island,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,30.9,30.9,,,27.2,35,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2011,2011,RI,Rhode Island,PRAMS,Alcohol,Alcohol use before pregnancy,%,Crude Prevalence,61.4,61.4,,,58.4,64.4,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC1_2,CrdPrev,OVERALL,OVR
2012,2012,RI,Rhode Island,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,Local control of the regulation of alcohol outlet density,Category 1 - State had exclusive local alcohol retail licensing,,,,,,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC10_0,LclCntrlAlc,OVERALL,OVR
2013,2013,RI,Rhode Island,YRBSS,Alcohol,Binge drinking prevalence among youth,%,Crude Prevalence,15.3,15.3,,,11.4,20.1,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_1,CrdPrev,OVERALL,OVR
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.4,18.4,,,16.8,20,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,19.6,19.6,,,17.9,21.3,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,25.2,25.2,,,22.6,28,Gender,Male,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,GENDER,GENM
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,26.3,26.3,,,23.6,29.1,Gender,Male,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.1,12.1,,,10.5,14,Gender,Female,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,GENDER,GENF
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.2,13.2,,,11.4,15.2,Gender,Female,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.1,18.1,,,16.4,19.9,Race/Ethnicity,"White, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,WHT
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.5,20.5,,,18.6,22.7,Race/Ethnicity,"White, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.0,14,,,8.2,22.9,Race/Ethnicity,"Black, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,BLK
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.4,12.4,,,7.3,20.1,Race/Ethnicity,"Black, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,RACE,BLK
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,22.9,22.9,,,17.7,29.1,Race/Ethnicity,Hispanic,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,HIS
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,21.8,21.8,,,17,27.7,Race/Ethnicity,Hispanic,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,RACE,HIS
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.4,16.4,,,9.3,27.5,Race/Ethnicity,"Other, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.8,13.8,,,8.3,22,Race/Ethnicity,"Other, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,MRC
2014,2014,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,RACE,MRC
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,17.8,17.8,,,16.4,19.3,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,OVERALL,OVR
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.6,18.6,,,17.1,20.1,Overall,Overall,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,OVERALL,OVR
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,23.4,23.4,,,21.1,25.9,Gender,Male,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,GENDER,GENM
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,24.1,24.1,,,21.8,26.6,Gender,Male,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,GENDER,GENM
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.7,12.7,,,11.1,14.6,Gender,Female,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,GENDER,GENF
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.4,13.4,,,11.7,15.2,Gender,Female,"(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,GENDER,GENF
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.6,18.6,,,17,20.4,Race/Ethnicity,"White, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,WHT
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.7,20.7,,,18.9,22.6,Race/Ethnicity,"White, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,AgeAdjPrev,RACE,WHT
2013,2013,RI,Rhode Island,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.5,13.5,,,8.8,20.1,Race/Ethnicity,"Black, non-Hispanic","(41.70828019300046, -71.52247031399963)",44,ALC,ALC2_2,CrdPrev,RACE,BLK
