YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,AK,Alaska,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,22.5,22.5,,,19.3,26.1,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,AL,Alabama,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,35,35,,,30.1,40.3,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,AR,Arkansas,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,36.3,36.3,,,32.3,40.4,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,AZ,Arizona,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,36,36,,,31.4,40.9,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,CA,California,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(37.63864012300047, -120.99999953799971)",06,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,CO,Colorado,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,CT,Connecticut,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,36.7,36.7,,,32.7,41,Overall,Overall,"(41.56266102000046, -72.64984095199964)",09,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,DC,District of Columbia,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,31.4,31.4,,,30.2,32.5,Overall,Overall,"(38.907192, -77.036871)",11,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,DE,Delaware,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,36.3,36.3,,,33.7,39,Overall,Overall,"(39.008830667000495, -75.57774116799965)",10,ALC,ALC1_1,CrdPrev,OVERALL,OVR
2013,2013,FL,Florida,YRBSS,Alcohol,Alcohol use among youth,%,Crude Prevalence,34.8,34.8,,,33.1,36.6,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,ALC,ALC1_1,CrdPrev,OVERALL,OVR
