YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2012,2012,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,597,597, , ,,,Gender,Male,"(43.682630005000476, -114.3637300419997)",16,CKD,CKD1_0,Nmbr,GENDER,GENM
2013,2013,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,461,461, , ,,,Gender,Male,"(43.682630005000476, -114.3637300419997)",16,CKD,CKD1_0,Nmbr,GENDER,GENM
2013,2013,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,532,532, , ,,,Gender,Male,"(45.254228894000505, -68.98503133599962)",23,CKD,CKD1_0,Nmbr,GENDER,GENM
2013,2013,UT,Utah,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,497,497, , ,,,Gender,Female,"(39.360700171000474, -111.58713063499971)",49,CKD,CKD1_0,Nmbr,GENDER,GENF
2014,2014,UT,Utah,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,604,604, , ,,,Gender,Female,"(39.360700171000474, -111.58713063499971)",49,CKD,CKD1_0,Nmbr,GENDER,GENF
2013,2013,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,1199,1199, , ,,,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CKD,CKD1_0,Nmbr,RACE,BLK
2014,2014,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,2282,2282, , ,,,Race/Ethnicity,"White, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CKD,CKD1_0,Nmbr,RACE,WHT
2014,2014,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,1048,1048, , ,,,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CKD,CKD1_0,Nmbr,RACE,BLK
2010,2010,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,2057,2057, , ,,,Race/Ethnicity,"White, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,WHT
2010,2010,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,477,477, , ,,,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,BLK
2011,2011,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,2329,2329, , ,,,Race/Ethnicity,"White, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,WHT
2011,2011,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,544,544, , ,,,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,BLK
2012,2012,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,557,557, , ,,,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,BLK
2013,2013,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,1855,1855, , ,,,Race/Ethnicity,"White, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,WHT
2013,2013,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,392,392, , ,,,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,BLK
2014,2014,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,1847,1847, , ,,,Race/Ethnicity,"White, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,WHT
2014,2014,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,402,402, , ,,,Race/Ethnicity,"Black, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,CKD,CKD1_0,Nmbr,RACE,BLK
2011,2011,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,71,71, , ,,,Race/Ethnicity,Asian or Pacific Islander,"(34.865970280000454, -111.76381127699972)",04,CKD,CKD1_0,Nmbr,RACE,API
2012,2012,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,52,52, , ,,,Race/Ethnicity,Asian or Pacific Islander,"(34.865970280000454, -111.76381127699972)",04,CKD,CKD1_0,Nmbr,RACE,API
2013,2013,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,45,45, , ,,,Race/Ethnicity,Asian or Pacific Islander,"(34.865970280000454, -111.76381127699972)",04,CKD,CKD1_0,Nmbr,RACE,API
2014,2014,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,39,39, , ,,,Race/Ethnicity,Asian or Pacific Islander,"(34.865970280000454, -111.76381127699972)",04,CKD,CKD1_0,Nmbr,RACE,API
2010,2010,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,15218,15218, , ,,,Race/Ethnicity,"White, non-Hispanic","(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,RACE,WHT
2010,2010,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,25776,25776, , ,,,Overall,Overall,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,OVERALL,OVR
2010,2010,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,13797,13797, , ,,,Gender,Male,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,GENDER,GENM
2010,2010,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,11979,11979, , ,,,Gender,Female,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,GENDER,GENF
2010,2010,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,5113,5113, , ,,,Race/Ethnicity,Hispanic,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,RACE,HIS
2011,2011,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,6261,6261, , ,,,Race/Ethnicity,Hispanic,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,RACE,HIS
2012,2012,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,6484,6484, , ,,,Race/Ethnicity,Hispanic,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,RACE,HIS
2013,2013,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,4064,4064, , ,,,Race/Ethnicity,Hispanic,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,RACE,HIS
2014,2014,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,4138,4138, , ,,,Race/Ethnicity,Hispanic,"(37.63864012300047, -120.99999953799971)",06,CKD,CKD1_0,Nmbr,RACE,HIS
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,RACE,BLK
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,RACE,API
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,204,204, , ,,,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,RACE,WHT
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,64,64, , ,,,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,RACE,AIAN
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,159,159, , ,,,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,GENDER,GENM
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,133,133, , ,,,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,GENDER,GENF
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,292,292, , ,,,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,OVERALL,OVR
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,Nmbr,RACE,HIS
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,RACE,BLK
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,RACE,API
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate,42.6,42.6, , ,36.8,48.5,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,RACE,WHT
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate,55.5,55.5, , ,42.8,70.9,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,RACE,AIAN
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate,43.0,43, , ,36.3,49.7,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,GENDER,GENM
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate,39.0,39, , ,32.4,45.7,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,GENDER,GENF
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate,41.1,41.1, , ,36.4,45.8,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,OVERALL,OVR
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,CrdRate,RACE,HIS
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,AgeAdjRate,RACE,BLK
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,AgeAdjRate,RACE,API
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Age-adjusted Rate,65.6,65.6, , ,56,75.1,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,AgeAdjRate,RACE,WHT
2010,2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Age-adjusted Rate,105.2,105.2, , ,79.7,136.3,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,CKD,CKD1_0,AgeAdjRate,RACE,AIAN
