YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2010,2010,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,8.2,8.2,,,7.09,9.31,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD5_3,AgeAdjRate,GENDER,GENF
2010,2010,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,7.29,7.29,,,6.2,8.38,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD5_3,AgeAdjRate,GENDER,GENM
2010,2010,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,7.68,7.68,,,6.91,8.46,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD5_3,AgeAdjRate,OVERALL,OVR
2010,2010,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,7.88,7.88,,,6.81,8.94,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD5_3,CrdRate,GENDER,GENF
2010,2010,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,6.58,6.58,,,5.59,7.56,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD5_3,CrdRate,GENDER,GENM
2010,2010,AK,Alaska,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,7.23,7.23,,,6.51,7.96,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD5_3,CrdRate,OVERALL,OVR
2010,2010,AL,Alabama,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,16.16,16.16,,,15.69,16.63,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,COPD,COPD5_3,AgeAdjRate,GENDER,GENF
2010,2010,AL,Alabama,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,18.31,18.31,,,17.72,18.9,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,COPD,COPD5_3,AgeAdjRate,GENDER,GENM
2010,2010,AL,Alabama,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,16.91,16.91,,,16.54,17.27,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,COPD,COPD5_3,AgeAdjRate,OVERALL,OVR
2010,2010,AL,Alabama,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,16.16,16.16,,,15.69,16.63,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,COPD,COPD5_3,CrdRate,GENDER,GENF
2010,2010,AL,Alabama,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,17.58,17.58,,,17.01,18.14,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,COPD,COPD5_3,CrdRate,GENDER,GENM
2010,2010,AL,Alabama,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,16.76,16.76,,,16.4,17.12,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,COPD,COPD5_3,CrdRate,OVERALL,OVR
2010,2010,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,12.33,12.33,,,11.84,12.83,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,COPD,COPD5_3,AgeAdjRate,GENDER,GENF
2010,2010,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,12.45,12.45,,,11.87,13.03,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,COPD,COPD5_3,AgeAdjRate,GENDER,GENM
2010,2010,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,12.31,12.31,,,11.94,12.68,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,COPD,COPD5_3,AgeAdjRate,OVERALL,OVR
2010,2010,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,12.41,12.41,,,11.91,12.9,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,COPD,COPD5_3,CrdRate,GENDER,GENF
2010,2010,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,11.99,11.99,,,11.44,12.54,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,COPD,COPD5_3,CrdRate,GENDER,GENM
2010,2010,AR,Arkansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,12.23,12.23,,,11.86,12.59,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,COPD,COPD5_3,CrdRate,OVERALL,OVR
2010,2010,AZ,Arizona,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,9.36,9.36,,,8.98,9.74,Gender,Female,"(34.865970280000454, -111.76381127699972)",04,COPD,COPD5_3,AgeAdjRate,GENDER,GENF
2010,2010,AZ,Arizona,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,9.28,9.28,,,8.87,9.68,Gender,Male,"(34.865970280000454, -111.76381127699972)",04,COPD,COPD5_3,AgeAdjRate,GENDER,GENM
2010,2010,AZ,Arizona,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,9.27,9.27,,,8.99,9.54,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,COPD,COPD5_3,AgeAdjRate,OVERALL,OVR
