YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2010,2010,AK,Alaska,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.79,4.79,,,4.78,4.79,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,AL,Alabama,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.5,4.5,,,4.5,4.5,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,AR,Arkansas,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,3.29,3.29,,,3.29,3.29,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,AZ,Arizona,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.22,4.22,,,4.21,4.22,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,CA,California,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.13,4.13,,,4.13,4.13,Overall,Overall,"(37.63864012300047, -120.99999953799971)",06,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,CO,Colorado,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.5,4.5,,,4.5,4.5,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,CT,Connecticut,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.33,5.33,,,5.33,5.34,Overall,Overall,"(41.56266102000046, -72.64984095199964)",09,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,DC,District of Columbia,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,3.48,3.48,,,3.48,3.49,Overall,Overall,"(38.907192, -77.036871)",11,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,DE,Delaware,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.71,4.71,,,4.71,4.71,Overall,Overall,"(39.008830667000495, -75.57774116799965)",10,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,FL,Florida,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.07,5.07,,,5.07,5.07,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,GA,Georgia,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,3.72,3.72,,,3.72,3.72,Overall,Overall,"(32.83968109300048, -83.62758034599966)",13,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,HI,Hawaii,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,8.4,8.4,,,8.39,8.4,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,IA,Iowa,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,6.38,6.38,,,6.38,6.39,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,ID,Idaho,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.99,4.99,,,4.99,4.99,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,IL,Illinois,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,6.0,6,,,6,6,Overall,Overall,"(40.48501028300046, -88.99771017799969)",17,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,IN,Indiana,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,6.02,6.02,,,6.02,6.03,Overall,Overall,"(39.766910452000445, -86.14996019399968)",18,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,KS,Kansas,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.08,5.08,,,5.07,5.08,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,KY,Kentucky,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.26,5.26,,,5.26,5.26,Overall,Overall,"(37.645970271000465, -84.77497104799966)",21,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,LA,Louisiana,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,2.29,2.29,,,2.29,2.29,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MA,Massachusetts,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.79,5.79,,,5.79,5.79,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MD,Maryland,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.48,5.48,,,5.48,5.49,Overall,Overall,"(39.29058096400047, -76.60926011099963)",24,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,ME,Maine,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,6.5,6.5,,,6.5,6.51,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MI,Michigan,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.08,5.08,,,5.08,5.09,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MN,Minnesota,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.97,5.97,,,5.97,5.97,Overall,Overall,"(46.35564873600049, -94.79420050299967)",27,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MO,Missouri,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,5.73,5.73,,,5.73,5.74,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MS,Mississippi,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,3.59,3.59,,,3.59,3.59,Overall,Overall,"(32.745510099000455, -89.53803082499968)",28,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,MT,Montana,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,3.81,3.81,,,3.8,3.81,Overall,Overall,"(47.06652897200047, -109.42442064499971)",30,DIA,DIA3_2,Prev,OVERALL,OVR
2010,2010,NC,North Carolina,"Birth Certificate, NVSS",Diabetes,Prevalence of gestational diabetes,%,Prevalence,4.0,4,,,4,4,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,DIA,DIA3_2,Prev,OVERALL,OVR
