YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2014,2014,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,21.4,21.4,,,16.9,26.6,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,20.6,20.6,,,16.4,25.5,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.1,19.1,,,15.3,23.6,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.9,18.9,,,15,23.6,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,AL,Alabama,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,AL,Alabama,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,AL,Alabama,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,AL,Alabama,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.3,19.3,,,11,31.7,Race/Ethnicity,"Other, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,AR,Arkansas,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,17.5,17.5,,,9.9,28.9,Race/Ethnicity,"Other, non-Hispanic","(34.74865012400045, -92.27449074299966)",05,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,13.4,13.4,,,9.6,18.4,Race/Ethnicity,"Other, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,12.2,12.2,,,8.8,16.6,Race/Ethnicity,"Other, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,18.5,18.5,,,10.6,30.2,Race/Ethnicity,"Other, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,AZ,Arizona,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.7,14.7,,,9.1,22.9,Race/Ethnicity,"Other, non-Hispanic","(34.865970280000454, -111.76381127699972)",04,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,CA,California,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,9.7,9.7,,,7.1,13.2,Race/Ethnicity,"Other, non-Hispanic","(37.63864012300047, -120.99999953799971)",06,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,CA,California,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,9.2,9.2,,,6.8,12.3,Race/Ethnicity,"Other, non-Hispanic","(37.63864012300047, -120.99999953799971)",06,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,CA,California,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,14.5,14.5,,,11.5,18.2,Race/Ethnicity,"Other, non-Hispanic","(37.63864012300047, -120.99999953799971)",06,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,CA,California,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.6,13.6,,,10.7,17,Race/Ethnicity,"Other, non-Hispanic","(37.63864012300047, -120.99999953799971)",06,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,11.5,11.5,,,7.7,17,Race/Ethnicity,"Other, non-Hispanic","(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,10.7,10.7,,,7.2,15.5,Race/Ethnicity,"Other, non-Hispanic","(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,19.5,19.5,,,14.1,26.3,Race/Ethnicity,"Other, non-Hispanic","(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,CO,Colorado,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,18.1,18.1,,,13.3,24.3,Race/Ethnicity,"Other, non-Hispanic","(38.843840757000464, -106.13361092099967)",08,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,CT,Connecticut,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,16.0,16,,,10.4,23.7,Race/Ethnicity,"Other, non-Hispanic","(41.56266102000046, -72.64984095199964)",09,ALC,ALC2_2,CrdPrev,RACE,OTH
2014,2014,CT,Connecticut,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,14.1,14.1,,,9.3,20.9,Race/Ethnicity,"Other, non-Hispanic","(41.56266102000046, -72.64984095199964)",09,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2013,2013,CT,Connecticut,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(41.56266102000046, -72.64984095199964)",09,ALC,ALC2_2,CrdPrev,RACE,OTH
2013,2013,CT,Connecticut,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(41.56266102000046, -72.64984095199964)",09,ALC,ALC2_2,AgeAdjPrev,RACE,OTH
2014,2014,DC,District of Columbia,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(38.907192, -77.036871)",11,ALC,ALC2_2,CrdPrev,RACE,OTH
