YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,FL,Florida,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.5,,,3.2,3.9,Gender,Male,"(28.932040377000476, -81.92896053899966)",12,MTH,MTH1_0,Mean,GENDER,GENM
2014,2014,IA,Iowa,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.6,,,3.3,4,Gender,Female,"(42.46940091300047, -93.81649055599968)",19,MTH,MTH1_0,Mean,GENDER,GENF
2009,2011,IN,Indiana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(39.766910452000445, -86.14996019399968)",18,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,KS,Kansas,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,KY,Kentucky,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(37.645970271000465, -84.77497104799966)",21,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,LA,Louisiana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MA,Massachusetts,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MD,Maryland,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,7.3,7.3,,,5.5,9.5,Overall,Overall,"(39.29058096400047, -76.60926011099963)",24,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,ME,Maine,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.4,9.4,,,7.5,11.7,Overall,Overall,"(45.254228894000505, -68.98503133599962)",23,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MI,Michigan,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.4,9.4,,,7.8,11.3,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MN,Minnesota,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,8.4,8.4,,,6.8,10.2,Overall,Overall,"(46.35564873600049, -94.79420050299967)",27,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MO,Missouri,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.1,12.1,,,10.1,14.4,Overall,Overall,"(38.635790776000476, -92.56630005299968)",29,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MS,Mississippi,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(32.745510099000455, -89.53803082499968)",28,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,MT,Montana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(47.06652897200047, -109.42442064499971)",30,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NC,North Carolina,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(35.466220975000454, -79.15925046299964)",37,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,ND,North Dakota,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(47.47531977900047, -100.11842104899966)",38,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NE,Nebraska,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,10.5,10.5,,,8.8,12.4,Overall,Overall,"(41.6410409880005, -99.36572062299967)",31,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NH,New Hampshire,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(43.65595011300047, -71.50036091999965)",33,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NJ,New Jersey,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,7.2,7.2,,,5.8,8.8,Overall,Overall,"(40.13057004800049, -74.27369128799967)",34,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NM,New Mexico,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.2,12.2,,,10.6,14,Overall,Overall,"(34.52088095200048, -106.24058098499967)",35,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NV,Nevada,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(39.493240390000494, -117.07184056399967)",32,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,NY,New York,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.8,9.8,,,7.7,12.3,Overall,Overall,"(42.82700103200045, -75.54397042699964)",36,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2009,2011,OH,Ohio,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(40.06021014100048, -82.40426005599966)",39,MTH,MTH3_0,CrdPrev,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.1,3.1,,,2.7,3.4,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,3,,,2.7,3.3,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,AgeAdjMean,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.6,2.6,,,2.2,3.1,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.5,2.5,,,2.1,3,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,AgeAdjMean,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.5,,,3.1,3.9,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,GENDER,GENF
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.4,,,3,3.8,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,AgeAdjMean,GENDER,GENF
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.9,,,2.6,3.2,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,RACE,WHT
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.8,,,2.5,3.2,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,AgeAdjMean,RACE,WHT
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,3.6,,,1.6,5.7,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,AgeAdjMean,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,4.4,,,2.6,6.2,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,RACE,HIS
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.6,,,2.6,6.7,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,AgeAdjMean,RACE,HIS
2014,2014,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.7,2.7,,,2,3.5,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,MTH,MTH1_0,Mean,RACE,OTH
