YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2014,2014,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,79.3,79.3,,,74.6,83.4,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,84.2,84.2,,,79,88.4,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,WHT
2014,2014,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,HIS
2014,2014,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,65.7,65.7,,,54.1,75.6,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,OTH
2014,2014,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,MRC
2013,2013,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,WHT
2013,2013,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,BLK
2013,2013,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,HIS
2013,2013,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,OTH
2013,2013,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,CAN,CAN2_2,CrdPrev,RACE,MRC
2014,2014,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,86.3,86.3,,,83.3,88.9,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,OVERALL,OVR
2014,2014,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,81.9,81.9,,,77.4,85.7,Race/Ethnicity,"White, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,WHT
2014,2014,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,93.2,93.2,,,89.7,95.6,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,BLK
2014,2014,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,HIS
2014,2014,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,OTH
2014,2014,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,MRC
2013,2013,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,79.4,79.4,,,64.8,89,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,OVERALL,OVR
2013,2013,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"White, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,WHT
2013,2013,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,BLK
2013,2013,AL,Alabama,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,"(32.84057112200048, -86.63186076199969)",01,CAN,CAN2_2,CrdPrev,RACE,HIS
