YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,GA,Georgia,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,40.7,40.7,,,31.5,50.5,Gender,Male,"(32.83968109300048, -83.62758034599966)",13,COPD,COPD3_0_1,CrdPrev,GENDER,GENM
2014,2014,AL,Alabama,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,31.1,31.1,,,23,40.6,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,COPD,COPD3_0_1,CrdPrev,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,37.8,37.8,,,29.1,47.3,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,CrdPrev,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,41.1,41.1,,,32.2,50.7,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,AgeAdjPrev,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,34.7,34.7,,,22.7,49,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,CrdPrev,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,35.6,35.6,,,22.7,51,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,AgeAdjPrev,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,39.6,39.6,,,28.2,52.3,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,CrdPrev,GENDER,GENF
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,45.8,45.8,,,35,57,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,AgeAdjPrev,GENDER,GENF
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,41.6,41.6,,,32.2,51.8,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,CrdPrev,RACE,WHT
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,45.1,45.1,,,34.8,55.7,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,AgeAdjPrev,RACE,WHT
2013,2013,GA,Georgia,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,48.8,48.8,,,37.8,60,Gender,Male,"(32.83968109300048, -83.62758034599966)",13,COPD,COPD3_0_1,AgeAdjPrev,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,CrdPrev,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,AgeAdjPrev,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,COPD,COPD3_0_1,CrdPrev,RACE,HIS
