YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2010,2010,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,1866,1866,,,,,Overall,Overall,"(39.008830667000495, -75.57774116799965)",10,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,IN,Indiana,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,13126,13126,,,,,Overall,Overall,"(39.766910452000445, -86.14996019399968)",18,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,MI,Michigan,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,10149,10149,,,,,Gender,Male,"(44.6613195430005, -84.71439026999968)",26,CVD,CVD2_0,Nmbr,GENDER,GENM
2010,2010,MI,Michigan,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,22589,22589,,,,,Overall,Overall,"(44.6613195430005, -84.71439026999968)",26,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,21.52,21.52,,,20.9,22.15,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,CrdRate,GENDER,GENM
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,20.24,20.24,,,19.84,20.64,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,CrdRate,OVERALL,OVR
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,5491,5491,,,,,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,Nmbr,GENDER,GENF
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,4526,4526,,,,,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,Nmbr,GENDER,GENM
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,10017,10017,,,,,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,17.96,17.96,,,17.37,18.55,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,AgeAdjRate,GENDER,GENF
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,9.27,9.27,,,8.05,10.48,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,AgeAdjRate,GENDER,GENF
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,11.55,11.55,,,10.12,12.99,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,AgeAdjRate,GENDER,GENM
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,10.35,10.35,,,9.42,11.28,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,AgeAdjRate,OVERALL,OVR
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,8.36,8.36,,,7.27,9.46,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,CrdRate,GENDER,GENF
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,9.56,9.56,,,8.37,10.74,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,CrdRate,GENDER,GENM
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,8.96,8.96,,,8.15,9.76,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,CrdRate,OVERALL,OVR
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,223,223,,,,,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,Nmbr,GENDER,GENF
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,250,250,,,,,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,Nmbr,GENDER,GENM
2010,2010,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,473,473,,,,,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,18.99,18.99,,,18.49,19.49,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,AgeAdjRate,GENDER,GENF
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,23.09,23.09,,,22.42,23.77,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,AgeAdjRate,GENDER,GENM
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,20.69,20.69,,,20.28,21.09,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,AgeAdjRate,OVERALL,OVR
2010,2010,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,19.29,19.29,,,18.78,19.8,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,CVD,CVD2_0,CrdRate,GENDER,GENF
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,20.3,20.3,,,19.55,21.04,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,AgeAdjRate,GENDER,GENM
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,18.98,18.98,,,18.52,19.45,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,AgeAdjRate,OVERALL,OVR
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,18.21,18.21,,,17.61,18.81,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,CrdRate,GENDER,GENF
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,19.01,19.01,,,18.31,19.71,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,CrdRate,GENDER,GENM
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,18.56,18.56,,,18.1,19.01,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,CrdRate,OVERALL,OVR
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,3562,3562,,,,,Gender,Female,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,Nmbr,GENDER,GENF
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,2854,2854,,,,,Gender,Male,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,Nmbr,GENDER,GENM
2010,2010,AR,Arkansas,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,6416,6416,,,,,Overall,Overall,"(34.74865012400045, -92.27449074299966)",05,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,12.1,12.1,,,11.67,12.54,Gender,Female,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,AgeAdjRate,GENDER,GENF
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,15.61,15.61,,,15.08,16.14,Gender,Male,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,AgeAdjRate,GENDER,GENM
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,13.76,13.76,,,13.42,14.1,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,AgeAdjRate,OVERALL,OVR
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,11.51,11.51,,,11.09,11.92,Gender,Female,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,CrdRate,GENDER,GENF
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,14.18,14.18,,,13.7,14.66,Gender,Male,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,CrdRate,GENDER,GENM
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,12.78,12.78,,,12.46,13.1,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,CrdRate,OVERALL,OVR
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,2961,2961,,,,,Gender,Female,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,Nmbr,GENDER,GENF
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,3318,3318,,,,,Gender,Male,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,Nmbr,GENDER,GENM
2010,2010,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,6279,6279,,,,,Overall,Overall,"(34.865970280000454, -111.76381127699972)",04,CVD,CVD2_0,Nmbr,OVERALL,OVR
2010,2010,CA,California,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,14.56,14.56,,,14.35,14.76,Gender,Female,"(37.63864012300047, -120.99999953799971)",06,CVD,CVD2_0,AgeAdjRate,GENDER,GENF
