YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,CA,California,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,"(37.63864012300047, -120.99999953799971)",06,DIA,DIA7_0,CrdPrev,RACE,HIS
2013,2013,CO,Colorado,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,-,No data available,,,Overall,Overall,"(38.843840757000464, -106.13361092099967)",08,DIA,DIA7_0,AgeAdjPrev,OVERALL,OVR
2013,2013,CO,Colorado,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,-,No data available,,,Gender,Male,"(38.843840757000464, -106.13361092099967)",08,DIA,DIA7_0,CrdPrev,GENDER,GENM
2013,2013,CO,Colorado,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,-,No data available,,,Gender,Male,"(38.843840757000464, -106.13361092099967)",08,DIA,DIA7_0,AgeAdjPrev,GENDER,GENM
2013,2013,CO,Colorado,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,-,No data available,,,Gender,Female,"(38.843840757000464, -106.13361092099967)",08,DIA,DIA7_0,CrdPrev,GENDER,GENF
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,58.6,58.6,,,50.2,66.5,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,46,46,,,36.1,56.2,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,54.1,54.1,,,43.6,64.3,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,GENDER,GENM
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,37.5,37.5,,,27.9,48.2,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,GENDER,GENM
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,64.1,64.1,,,50,76.1,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,GENDER,GENF
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,75.1,75.1,,,61.2,85.3,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,GENDER,GENF
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,62.8,62.8,,,54.2,70.6,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,WHT
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,45.6,45.6,,,35.7,55.9,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,WHT
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,BLK
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,BLK
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,HIS
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,HIS
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,42.1,42.1,,,25.8,60.4,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,OTH
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,43.1,43.1,,,21.5,67.7,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,OTH
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,MRC
2013,2013,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,MRC
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,58.9,58.9,,,51.9,65.6,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,59.6,59.6,,,49.5,68.9,Overall,Overall,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,53.5,53.5,,,43.7,63,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,46.4,46.4,,,30.9,62.7,Gender,Male,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,GENDER,GENM
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,63.2,63.2,,,53.5,71.9,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,GENDER,GENF
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,63.5,63.5,,,50.3,75,Gender,Female,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,GENDER,GENF
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,51.4,51.4,,,44.1,58.6,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,WHT
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,48.5,48.5,,,38.8,58.3,Race/Ethnicity,"White, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,WHT
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,BLK
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,HIS
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,HIS
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,62.8,62.8,,,43.4,78.8,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,OTH
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,60.5,60.5,,,34.6,81.6,Race/Ethnicity,"Other, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,OTH
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,CrdPrev,RACE,MRC
2014,2014,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)",02,DIA,DIA7_0,AgeAdjPrev,RACE,MRC
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,63.7,63.7,,,59.6,67.6,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,OVERALL,OVR
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,58.2,58.2,,,50.3,65.7,Overall,Overall,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,OVERALL,OVR
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,57.6,57.6,,,51.1,63.9,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,GENDER,GENM
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,46.9,46.9,,,38.3,55.6,Gender,Male,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,GENDER,GENM
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,68.9,68.9,,,64.1,73.4,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,GENDER,GENF
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,67.5,67.5,,,58,75.8,Gender,Female,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,GENDER,GENF
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,62.3,62.3,,,57.4,67,Race/Ethnicity,"White, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,RACE,WHT
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,49,49,,,40.7,57.3,Race/Ethnicity,"White, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,RACE,WHT
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,64.2,64.2,,,56.8,71,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,RACE,BLK
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,62.3,62.3,,,51.7,71.9,Race/Ethnicity,"Black, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,RACE,BLK
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,RACE,HIS
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,"(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,RACE,HIS
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,CrdPrev,RACE,OTH
2013,2013,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic","(32.84057112200048, -86.63186076199969)",01,DIA,DIA7_0,AgeAdjPrev,RACE,OTH
