YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2010,2010,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,Number,21,21, , ,,,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,Nmbr,RACE,AIAN
2010,2010,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate,18.2,18.2, , ,11.3,27.9,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,CrdRate,RACE,AIAN
2010,2010,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate,23.1,23.1, , ,14.1,35.6,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2011,2011,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,Number,25,25, , ,,,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,Nmbr,RACE,AIAN
2011,2011,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate,21.5,21.5, , ,13.9,31.7,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,CrdRate,RACE,AIAN
2011,2011,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate,25.8,25.8, , ,16.4,38.7,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2012,2012,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,Number,31,31, , ,,,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,Nmbr,RACE,AIAN
2012,2012,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate,26.4,26.4, , ,17.9,37.5,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,CrdRate,RACE,AIAN
2012,2012,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate,32.6,32.6, , ,21.7,47.1,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2013,2013,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,Number,25,25, , ,,,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,Nmbr,RACE,AIAN
2013,2013,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate,21.4,21.4, , ,13.9,31.6,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,CrdRate,RACE,AIAN
2013,2013,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate,25.7,25.7, , ,16.3,38.5,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2014,2014,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,Number,25,25, , ,,,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,Nmbr,RACE,AIAN
2014,2014,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate,21.4,21.4, , ,13.8,31.6,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,CrdRate,RACE,AIAN
2014,2014,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate,26.0,26, , ,16.6,38.6,Race/Ethnicity,American Indian or Alaska Native,"(64.84507995700051, -147.72205903599973)",02,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2010,2010,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,Nmbr,RACE,AIAN
2010,2010,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,CrdRate,RACE,AIAN
2010,2010,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2011,2011,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,Nmbr,RACE,AIAN
2011,2011,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,CrdRate,RACE,AIAN
2011,2011,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2012,2012,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,Nmbr,RACE,AIAN
2012,2012,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,CrdRate,RACE,AIAN
2012,2012,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2013,2013,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,Nmbr,RACE,AIAN
2013,2013,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,CrdRate,RACE,AIAN
2013,2013,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2014,2014,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,Nmbr,RACE,AIAN
2014,2014,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,CrdRate,RACE,AIAN
2014,2014,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(32.84057112200048, -86.63186076199969)",01,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
2010,2010,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC6_0,Nmbr,RACE,AIAN
2010,2010,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC6_0,CrdRate,RACE,AIAN
2010,2010,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,"(34.74865012400045, -92.27449074299966)",05,ALC,ALC6_0,AgeAdjRate,RACE,AIAN
